지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Bukhansan,4.6,"Triple-peaked mountain, a local landmark",37.660833,126.993333,https://lh5.googleusercontent.com/proxy/kcYL5RY-n5su7J9V-HV-3WoorobhpRtietrm6E-FcMZvAMUHr9ZhVND5nL_qIp5DDqlDpMi4Md9giZ3vQWOucHf3iKjkmjx3dRoPGcb69Qkob9-Ww3--1KfnVL3EKzrZXhMlPu8m8WDxItqMZQTeedcSeok=w464-h260-n-k-no,"Bukhansan, Ui-dong, Seoul",Outdoors Kind-friendly Nightview
Namsan Mountain Park,4.5,Park,37.5509895,126.9908991,https://t1.gstatic.com/images?q=tbn:ANd9GcTG6D-KwO2xl_b5NesabKFmtK5HLxKZ4Zgj-sWp5pkF5CRPIwc9_USPKpYILRI5nkWraB2V2EslLeaHaQ,"231 Samil-daero, Yongsan 2(i)ga-dong, Jung-gu, Seoul, South Korea",Outdoors Nightview Sunrise SeoulFutureHeritage
Banpo Hangang Park,4.3,Park,37.5097812,126.994744,https://lh3.googleusercontent.com/-rHPgQWagwGE/XRIAGsnJzuI/AAAAAAABSjg/yDZCOAt--YsHYCdSGg9tIwcmOKh6p2UrQCLIBGAYYCw/w464-h260-n-k-no/,"40 Sinbanpo-ro 11-gil, Banpo 2(i)-dong, Seocho-gu, Seoul, South Korea",Outdoors Nightview
Tapgol Park,3.7,"Public park with 10-story, stone pagoda",37.5711455,126.9883295,https://lh4.googleusercontent.com/-yhFWkMyII6M/XaF0ZeIvSnI/AAAAAAAAiv0/fBbJ0tslDtgpdGXojZBJgKloERrdxWVXQCLIBGAYYCw/w464-h260-n-k-no/,"99 Jong-ro, Jongno 2(i)-ga, Jongno-gu, Seoul, South Korea",Outdoors History Kind-friendly
Ttukseom Han River Park,4.4,Park and sledding,37.5291281,127.0713459,https://t3.gstatic.com/images?q=tbn:ANd9GcTxeUg8L3EOAch05vHbEiTJlxhA4DggXoWMTL2c2atAayHFwsC32qnpZycIzwdTiCVyv3x4ymQOGdwr4g,"South Korea, Seoul, Gwangjin-gu, Jayang-dong, 704-1",Outdoors Kind-friendly Nightview
Seoul Color Park,4.5,Expansive riverside park with a pool,37.5284017,126.9343012,https://t0.gstatic.com/images?q=tbn:ANd9GcSPbyFBmGlAkyn3xqEWWB_jOkD9g5N9TqBahmcj4QfPN7kzRcFkQFN0J1bbzI3HeBkEKoZ4P1Ezx0Xrmg,"330 Yeouidong-ro, Yeoeuido-dong, Yeongdeungpo-gu, Seoul, South Korea",Outdoors
Boramae Park,4.4,"Spacious, grassy recreational area",37.4932343,126.9197115,https://lh6.googleusercontent.com/-moC91Yo8X7o/XXssL72qu9I/AAAAAAAAZI4/pK4WA7gPqAMgT9zKaKGxuc149PmhV0vmwCLIBGAYYCw/w464-h260-n-k-no/,"33 Yeouidaebang-ro 20-gil, Sindaebang 2(i)-dong, Dongjak-gu, Seoul, South Korea",Outdoors Kind-friendly
Gwanaksan,4.5,"Mountaineering, autumn leaf color, climbing, mountain, and park",37.4429385,126.9610024,https://t2.gstatic.com/images?q=tbn:ANd9GcS63ARPqVCXyDQ9rfDa0iBaxlgUFeopsSVtk_FmNh3YjmpbTenwqeXXB2mqSasEBCm8VEgB4VokSjYxZg,"Gwanaksan, Jungang-dong, Gwacheon-si",Outdoors Kind-friendly Nightview
Secret Garden,4.8,"Palace, garden, and autumn leaf color",37.5170736,127.0365211,https://t1.gstatic.com/images?q=tbn:ANd9GcSbBpErtsVqmBSTpFmArqtbQHCqbG4bB7IXRtiyTM17UxwkO8ruYsIB4sGS-b9YHWFHgpn5RrIZDF0hWA,"South Korea, KR 서울특별시 강남구 언주로 134길 11-5 리스컴빌딩 1층",Outdoors History Art&Culture
Fortress Wall of Seoul,4.6,"History, park, and mountain",37.5779633,127.0084459,https://t3.gstatic.com/images?q=tbn:ANd9GcQshAWytVKZDVBDX8-y38Vpq3yXyKpAfOhnhaf6UCbrTYxGqKzMlCzpFF7IBBGR0c7MfLa_SnWb9aQrjw,"622-83 Changsin-dong, Jongno-gu, Seoul, South Korea",Outdoors History Art&Culture Kind-friendly
