지명,평점,상세설명,mapx,mapy,이미지링크,주소,카테고리
다문화박물관,4.1,박물관,126.93256167544772,37.61889709046249,https://lh5.googleusercontent.com/-0X6Vqj70cKM/Xas2i96mY1I/AAAAAAAAWlA/OvQGmuaCx6oZn5OJ5ocvHXaSDSn1upT3QCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 은평구 불광동 13-27,"여행,명소>박물관"
한국현대의상박물관,3.8,박물관,127.00556579718011,37.57557236913848,//www.google.com/maps/vt/data=ARgcDPMs3Fa7KaZKCJlFD9hOkTKqOpMHhJiGTtMr7OmCJ-AX-Nc22fPS6TVO0oQ3jWgC1S0AvJVY-SQ4ZLGHKBif0ufhGISJoQ,서울특별시 종로구 충신동 55-1 수진빌딩 9층,"여행,명소>박물관"
한국영화박물관,4.2,박물관,126.8899172512658,37.58050766157713,https://lh5.googleusercontent.com/-UqxWUgsqC-c/XcMnspuhG2I/AAAAAAADtok/8KjcMxMqMKkA0LutH4rPEmoBBZr0U-Y6ACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 마포구 상암동 1602,"여행,명소>박물관"
우리은행 은행사박물관,3.9,박물관,126.98165095002393,37.55928516414444,https://lh5.googleusercontent.com/-BDKebWVtCAw/Xba9g67GaJI/AAAAAAAADeI/UB2Z0r58Szc66os7NmeYlKykiJmQ5S5WwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 중구 회현동1가 203,"여행,명소>박물관"
한국금융사박물관,4.2,박물관,126.97646342528324,37.56866526590361,https://lh4.googleusercontent.com/-wHdeYe-CJ7o/XLsJRcdb1dI/AAAAAAAB6D8/ZdpyVN2MaNszBgH-FWE7hTUe_zaq2QlAQCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 중구 태평로1가 62-12,"여행,명소>박물관"
쌀박물관,4.1,박물관,126.96782110336409,37.56658079856989,https://lh3.googleusercontent.com/-JKz8TMWNEdk/V72DWIOL0wI/AAAAAAAAQfw/0twm-PAxyxsig60rjWHCt9gyogxp-n9HQCLIB/w464-h260-n-k-no/,서울특별시 중구 충정로1가 81-9,"여행,명소>박물관"
전기박물관,3.8,박물관,127.02770292351417,37.486192086343756,https://lh5.googleusercontent.com/-f67yJOe-xqw/XCfKX-Ib-jI/AAAAAAAAgUs/WsJ1NO6tvYURNbJj8DLJEd2bXZXqf2eDACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 서초구 서초동 1355,"여행,명소>박물관"
남양주시립박물관,3.6,박물관,127.24442869896595,37.54643377403685,https://lh4.googleusercontent.com/-mcq8MzsJPqQ/XbkXMdiaxhI/AAAAAAAAAxU/uuGou_4O4rwhdjevRbFmQbTEq2MuGbjTQCLIBGAYYCw/w464-h260-n-k-no/,경기도 남양주시 와부읍 팔당리 237-3,"여행,명소>박물관"
한국기독교박물관,3.9,박물관,126.95703318085613,37.49582611983496,https://lh5.googleusercontent.com/-1XEJtVzIaxE/XcKsHuDzDhI/AAAAAAAAQeA/OlKT8XhSZWIirSKJoBWw2flOpDMl2w36ACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 동작구 상도동 511,"여행,명소>박물관"
삼청기차박물관,4.0,박물관,126.98214515225244,37.58705049707772,https://lh5.googleusercontent.com/-IvOyh4KR5xs/Wc81eSxr1gI/AAAAAAAAAEI/nH-ghgIAUMIhSzsqDxIvfNbvXcDs-tYCACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 삼청동 27-35,"여행,명소>박물관"
롯데월드타워 아쿠아리움,4.2,"흰돌고래, 수족관 및 쇼핑",127.10485669464127,37.51349937181726,https://lh5.googleusercontent.com/-XGm5JW0GFV0/WjjEgtVCeiI/AAAAAAAACdc/kxfR2q6TYdoByXmVtw3oQF9jSYzfP5tegCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 송파구 신천동 29,"관람,체험>아쿠아리움"
창조자연사박물관,2.8,박물관,126.78615346893751,37.43376296844611,//www.google.com/maps/vt/data=aNPy-ypodRNdZKw7dobk1esQC7aIZqgRIZOmx5H2y7tr-AUi-d436A_cOPyO_cugXfJj9lnqzQkdefXqVeoLwrDmpaJ43DC-iw,경기도 시흥시 신천동 184-1,"여행,명소>박물관"
평강 성서 유물박물관,4.1,박물관,126.84407148298607,37.49200989592027,//www.google.com/maps/vt/data=UR3XfPkYmEhJ1XR1ZNn_Mrok6eA1rh8m9kcE35w8GbVoujiBXrJlolTC2znXIUHtoWff4hgDvQh6fN5nPYG0LvkcNezeQEl75g,서울특별시 구로구 오류동 150-15,"여행,명소>박물관"
부천교육박물관,4.6,박물관,126.79799589913415,37.50298476495274,https://lh5.googleusercontent.com/-xtkpG2ToZE4/XWzgSNYOSaI/AAAAAAAAAJk/6wsIvlwwHsQ0b6RqUTwoRhGKZyw99aU5QCLIBGAYYCw/w464-h260-n-k-no/,경기도 부천시 춘의동 8,"여행,명소>박물관"
관세박물관,4.0,박물관,127.03465888051355,37.51859693550606,https://lh5.googleusercontent.com/-7rq2cHj01v0/W30CrSFBNmI/AAAAAAAAX8U/rJQvxTjlT8YbUbkrw9_bT2UEDeUE3ALEwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 강남구 논현동 71,"여행,명소>박물관"
애보박물관,4.0,박물관,126.76703367804117,37.450387762127136,https://lh6.googleusercontent.com/-WbeCLX7HhZM/XLL2MI18RtI/AAAAAAAAIwc/XGX_0V_-jVwEZ21b0KMVLH35c8cXgF3HgCLIBGAYYCw/w464-h260-n-k-no/,인천광역시 남동구 운연동 2,"여행,명소>박물관"
겸재정선미술관,4.0,예술,126.83848619046077,37.57229154885345,https://lh4.googleusercontent.com/-14Z2qcFbfhw/Vymy5XDVYZI/AAAAAAAA8KE/YG4qXnqyoOUu4DmoZFCFBn5aaOTMgR1iQCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 강서구 마곡동 243-1,"여행,명소>박물관"
